Obs,Date/Time,Latitude,Longitide,Move (nm),Speed(nm/hr),Error (nm)
5,06/09 17,20.2,84.2,,,0.0
6,06/09 23,20.9,84.3,44.1,7.4,7.7
7,06/10 05,21.6,84.5,41.1,6.9,18.4
8,06/10 11,22.2,84.6,39.7,6.6,106.5
9,06/10 17,22.8,84.8,37.8,6.3,172.4
10,06/10 23,23.4,85.,36.4,6.1,***
11,06/11 05,24.,85.3,35.1,5.9,***
12,06/11 11,24.5,85.5,34.3,5.7,***
13,06/11 17,25.,85.8,33.6,5.6,***
14,06/11 23,25.5,86.,30.3,5.0,***
15,06/12 05,25.9,86.2,28.0,4.7,***
16,06/12 11,26.3,86.3,26.6,4.4,***
17,06/12 17,26.7,86.5,25.8,4.3,***
18,06/12 23,27.1,86.6,25.1,4.2,***
19,06/13 05,27.5,86.7,24.4,4.1,***
20,06/13 11,27.9,86.8,23.9,4.0,***
